"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"36","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0012.bmp","","1515.0012.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"37","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0013.bmp","","1515.0013.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"38","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0014.bmp","","1515.0014.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"39","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0015.bmp","","1515.0015.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"40","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0016.bmp","","1515.0016.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"41","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0017.bmp","","1515.0017.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"42","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0018.bmp","","1515.0018.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"43","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0019.bmp","","1515.0019.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"44","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0020.bmp","","1515.0020.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"45","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0021.bmp","","1515.0021.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"47","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0022.bmp","","1515.0022.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"48","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0023.bmp","","1515.0023.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
